--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054229_13서0449.jpg	13서0449                  	0.9985
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054508_21두5341.jpg	21두5341                  	0.8880
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054514_21무5341.jpg	21두5341                  	0.9850
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054519_21두5351.jpg	21두5341                  	0.4688
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054532_71우5341.jpg	21누5341                  	0.9989
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054607_06마2719.jpg	06머2719                  	0.9542
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054626_06마2717.jpg	06어2719                  	0.5576
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054633_06바7717.jpg	06머2719                  	0.9480
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054636_06마7719.jpg	06머2719                  	0.3961
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054640_06아2719.jpg	06머2719                  	0.6627
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054741_30바1778.jpg	30어1778                  	0.6581
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054749_30바178.jpg	30어1778                  	0.9227
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054801_3바1778.jpg	30어1778                  	0.9365
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054813_30다8426.jpg	30너0426                  	0.4309
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054821_30다84126.jpg	30다8426                  	0.5896
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054847_19너8830.jpg	19너8830                  	0.5062
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054850_30나8426.jpg	30나8426                  	0.5359
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054853_19너0030.jpg	19너8830                  	0.7218
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054914_9너8830.jpg	19더8830                  	0.8521
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-054936_198830.jpg	100010                   	0.3492
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-055018_55사4703.jpg	55서470                   	0.4653
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-055020_55서4703.jpg	554703                   	0.4333
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-055127_34두6510.jpg	34두6510                  	0.7699
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-055132_34무6510.jpg	34두6510                  	0.4162
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-055151_34부6510.jpg	34두6510                  	0.8063
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-055158_3무6510.jpg	34두6510                  	0.6183
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-055243_79하8862.jpg	29어8862                  	0.8925
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-055250_29하8862.jpg	29어8862                  	0.6325
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-055303_56하7279.jpg	56러7279                  	0.6042
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-055316_77아8867.jpg	298862                   	0.4710
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-055323_56하7277.jpg	56하7279                  	0.3701
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-060237_159모1695.jpg	159모1695                 	0.7805
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-060248_15모1695.jpg	159보1695                 	0.2019
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-060815_189조6129.jpg	189조6129                 	0.5183
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-060820_18조6129.jpg	189조6129                 	0.4914
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-060822_18우조6129.jpg	189조6129                 	0.5116
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-060827_189우조6129.jpg	189조6129                 	0.8804
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-060829_189소6129.jpg	189조6129                 	0.6665
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-060928_30바5671.jpg	30어5671                  	0.9464
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-060945_3바5671.jpg	305671                   	0.7668
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-060954_303바5671.jpg	30어567                   	0.1806
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-060959_3바5676.jpg	30어5671                  	0.2928
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-061001_3바5674.jpg	30어5671                  	0.3105
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-061018_59구3841.jpg	59구3844                  	0.7734
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-061020_59구3844.jpg	59구3844                  	0.5148
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-061136_56로8197.jpg	56호8197                  	0.6718
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-061224_2주9613.jpg	12주9613                  	0.9906
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-061226_12주9613.jpg	12주9613                  	0.7298
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-061445_55저6514.jpg	55저6514                  	0.8548
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-061447_55자6514.jpg	55저6514                  	0.9776
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-061452_55자6515.jpg	55저6514                  	0.8652
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-061457_55저6511.jpg	55저6514                  	0.5456
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-061522_55저6534.jpg	556514                   	0.8622
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-061649_30바7393.jpg	930바739                  	0.4786
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-061651_3바7393.jpg	30바7393                  	0.4674
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-061914_05오6776.jpg	05모6776                  	0.6527
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-061916_05모6776.jpg	05모6776                  	0.7863
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-063549_13다9119.jpg	130다9119                 	0.9838
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-063551_130다9119.jpg	130다9119                 	0.9752
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-063610_130다9115.jpg	130다9119                 	0.6200
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-063624_130다9117.jpg	130다9119                 	0.7731
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-063654_30하8219.jpg	809029                   	0.5162
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-063657_30바8219.jpg	030어8219                 	0.5506
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-063709_3바8219.jpg	30어8219                  	0.9184
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-063711_3바8215.jpg	30어8219                  	0.9204
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-063806_30조4688.jpg	30조4688                  	0.3878
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-063814_30조4683.jpg	30조4688                  	0.5064
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-063830_302조4688.jpg	0조4688                   	0.8850
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-064204_194부5300.jpg	1945300                  	0.5766
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-064211_19부5300.jpg	194부5300                 	0.8698
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-064215_14부5300.jpg	194부5300                 	0.8260
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-064259_81허4926.jpg	81도4926                  	0.8921
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-064302_81도4926.jpg	81도4926                  	0.6231
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-064341_81도4976.jpg	81도4926                  	0.4844
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-064636_30모14991.jpg	0171                     	0.3050
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-064639_305모1491.jpg	305모1491                 	0.9601
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-064702_3035모1491.jpg	305모1491                 	0.7902
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-064737_30바7183.jpg	930바7183                 	0.3474
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-064741_3바7183.jpg	30바7183                  	0.8525
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-065353_16두8792.jpg	16누0792                  	0.9702
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-070547_84수9753.jpg	84주9753                  	0.3162
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-071048_62루2518.jpg	62무2518                  	0.9063
